date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:26	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%22609f17cc-12d68%22	https://mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/mte/mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:54:27	98024/98024	---M--	200	added ('OK')	font/woff	etag:%22609f17cc-17ee8%22	https://mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/mte/mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:54:27	165548/165548	---M-Z	200	added ('OK')	font/ttf	etag:W/%22609f17cc-286ac%22	https://mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/mte/mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:54:28	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22609f17cc-6c7db%22	https://mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/mte/mteyt.com/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://mteyt.com/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
19:54:28	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Jun%202021%2007:54:28%20GMT	https://mteyt.com/fonts/iconic/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/My%20Web%20Sites/mte/mteyt.com/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://mteyt.com/fonts/iconic/css/material-design-iconic-font.min.css)
19:54:28	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Jun%202021%2007:54:29%20GMT	https://mteyt.com/fonts/iconic/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/My%20Web%20Sites/mte/mteyt.com/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://mteyt.com/fonts/iconic/css/material-design-iconic-font.min.css)
19:54:28	9127/9127	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Jun%202021%2007:54:29%20GMT	https://mteyt.com/fonts/iconic/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/My%20Web%20Sites/mte/mteyt.com/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://mteyt.com/fonts/iconic/css/material-design-iconic-font.min.css)
19:54:29	245708/245708	---M-Z	200	added ('OK')	font/ttf	etag:W/%22609f17cc-3bfcc%22	https://mteyt.com/fonts/Montserrat/Montserrat-Regular.ttf	C:/My%20Web%20Sites/mte/mteyt.com/fonts/Montserrat/Montserrat-Regular.ttf	(from https://mteyt.com/css/main.css)
19:54:30	242068/242068	---M-Z	200	added ('OK')	font/ttf	etag:W/%22609f17cc-3b194%22	https://mteyt.com/fonts/Montserrat/Montserrat-Light.ttf	C:/My%20Web%20Sites/mte/mteyt.com/fonts/Montserrat/Montserrat-Light.ttf	(from https://mteyt.com/css/main.css)
19:54:30	257552/257552	---M-Z	200	added ('OK')	font/ttf	etag:W/%22609f17cc-3ee10%22	https://mteyt.com/fonts/Montserrat/Montserrat-Black.ttf	C:/My%20Web%20Sites/mte/mteyt.com/fonts/Montserrat/Montserrat-Black.ttf	(from https://mteyt.com/css/main.css)
19:54:31	244468/244468	---M-Z	200	added ('OK')	font/ttf	etag:W/%22609f17cc-3baf4%22	https://mteyt.com/fonts/Montserrat/Montserrat-Bold.ttf	C:/My%20Web%20Sites/mte/mteyt.com/fonts/Montserrat/Montserrat-Bold.ttf	(from https://mteyt.com/css/main.css)
19:54:31	755/755	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2013%20Jun%202021%2007:54:31%20GMT	https://www.youtube.com/imgbin/www-hitchhiker.png	C:/My%20Web%20Sites/mte/www.youtube.com/imgbin/www-hitchhiker.42.delayed	(from https://www.youtube.com/s/player/a7cbbf24/www-player.css)
19:54:32	16996/16996	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://www.gstatic.com/youtube/img/originals/ckee/crane-kick.png	C:/My%20Web%20Sites/mte/www.gstatic.com/youtube/img/originals/ckee/crane-kick.png	(from https://www.youtube.com/s/player/a7cbbf24/www-player.css)
